document_name;q1_context_quotes;q2_penalty_quotes;q3_moderation_quotes
NS_SR_1Cdo_85_2023_00_dokument.json;Zmluva o výhradnej spolupráci materskej agentúry s modelkou | bez súhlasu a spolupráce s materskou agentúrou neuzatvorí žiadnu zmluvu alebo dohodu | žalovaná porušila ustanovenie zmluvy tým, že použila fotografie vyhotovené žalobkyňou prostredníctvom agentúry v Španielsku | nerokovať s treťou stranou a neprijímať počas platnosti tejto zmluvy iné záväzky bez vedomia a súhlasu materskej agentúry;zaviazala zaplatiť materskej agentúre zmluvnú pokutu vo výške 10.000 eur, ak poruší ktorúkoľvek povinnosť;zmluvná pokuta je zjavne neprimeraná z povinností, ktoré zabezpečuje voči príjmom, ktoré žalovaná počas dvoch rokov počas trvania zmluvy dosiahla | zároveň je neprimeraná voči možnej škode, ktorá by žalobcovi vznikla | uplatnil moderačné právo a znížil zmluvnú pokutu na sumu 1.000 eur
KS_Bratislava_1Cob_40_2018_00_dokument.json;V dôsledku neplatenia leasingových splátok žalovaným v 1. rade žalobca dňa 15.4.2009 od zmluvy odstúpil | predmetom bol finančný leasing motorového vozidla | vyúčtovanie pri predčasnom ukončení leasingovej zmluvy, v zmysle ktorého bol žalovaný v 1. rade povinný uhradiť žalobcovi sumu 2.429,91 eur;zmluvnú pokutu vo výške 0,2% za každý deň omeškania zo sumy 2.429,91 eur;nedospel k záveru, že by uplatnenú zmluvnú pokutu bolo potrebné znížiť v zmysle § 301 Obchodného zákonníka | zmluvné ustanovenia týkajúce sa zmluvnej pokuty boli v rozpore so zásadami poctivého obchodného styku
KS_Bratislava_1Cob_130_2019_00_dokument.json;Zmluvu o spolupráci a partnerstve č. 9/2016 (ďalej aj ako "Zmluva"), na základe ktorej sa žalovaný zaviazal pre žalobcu vykonávať prepravu osôb na vozidle | žalobca ukončil platnosť zmluvy so žalovaným výpoveďou zo dňa 17.5.2016 | žalovaný počas výpovednej doby neposkytoval žalobcovi zmluvné plnenie;nesplnenia povinnosti poskytovať zmluvné plnenie v čl. III. bod 1 zmluvy počas výpovednej doby | povinnosť zaplatiť druhej zmluvnej strane zmluvnú pokutu vo výške 2.000 eur;vzhľadom na význam a hodnotu zabezpečenej pohľadávky je výška dojednanej zmluvnej pokuty podľa názoru súdu primeraná | dospel k správnemu záveru o platnosti a primeranosti dojednanej zmluvnej pokuty
NS_SR_1Obdo_66_2018_00_dokument.json;Rámcovú kúpnu zmluvu o podmienkach dodávok tovaru | tovar zo sortimentu žalobkyne (pracovné rukavice rôznych typov a veľkostí) | povinnosť žalovanej tovar od žalobkyne kúpiť v ročnom minimálnom množstve;zmluvná pokuta a spôsob jej určenia - vo výške neodobratého dohodnutého minimálneho množstva tovaru určeného čo do druhu a veľkosti v zmluve, v období dvanásť mesiacov;neprimeraná k hodnote zabezpečeného záväzku, keďže sa rovná kúpnej cene tovaru, ktorý žalovaná neodobrala, ale s výrobou ktorého nemala žalobkyňa ani žiadne náklady | nejde o taký špecifický tovar, s predajom ktorého inému odberateľovi by mala žalobkyňa vážne problémy | žalobkyňa netvrdila, že by jej neodobraním minimálneho množstva tovaru žalovanou, t.j. porušením dohodnutého zmluvného záväzku vyplývajúceho z Rámcovej zmluvy vznikla nejaká škoda | za primeranú zmluvnú pokutu v danej veci považuje pokutu vo výške 50% kúpnej ceny neodobratého dohodnutého ročného objemu tovaru
NS_SR_1Obdo_72_2019_00_dokument.json;žalobkyňa a žalovaná ako podnikateľky uzavreli dňa 17.04.2012 Zmluvu o poskytovaní služieb | vykonávala pre žalobkyňu sprostredkovanie predaja, prenájmu a kúpy nehnuteľností | žalovaná uzavrela realitný obchod bez vedomia žalobkyne, čím porušila článok VII. bod 7./A písm. (e) zmluvy;Pre prípad podstatného porušenia zásadných ustanovení zmluvy poskytovateľkou, teda žalovanou, bola v zmluve dohodnutá zmluvná pokuta vo výške 10.000 €;zmluvná pokuta bola dohodnutá iba v prospech žalobkyne | prihliadol aj na výšku vzniknutej škody, ktorá v prejednávanom prípade bola 300 € | uplatnil moderačné oprávnenie podľa ustanovenia § 301 Obchodného zákonníka | a zmluvnú pokutu znížil o polovicu na sumu 5.000 € | s poukazom na hospodársku pozíciu zmluvných strán, reciprocitu zmluvnej pokuty, druh zavinenia žalovanej a výšku vzniknutej škody
KS_Bratislava_2Co_380_2011_00_dokument.json;Zmluvu o dielo č. XXX | záväzok odporcu ako zhotoviteľa zhotoviť pre navrhovateľov 1/ a 2/ ako objednávateľov dielo - rodinný dom | nedodržania termínu dokončenia výstavby domu odporcom;zmluvnej pokute pre prípad nedodržania termínu dokončenia výstavby domu odporcom v termíne určenom v Zmluve o dielo | vo výške 0,05% za každý deň omeškania z ceny diela | zo sumy 4.323.809,- Sk (z ceny diela v zmysle Dodatku č. 1) | zmluvná pokuta za omeškanie odporcu od 20.02.2009 do 31.03.2009, t.j. za 40 dní omeškania predstavuje sumu 2.870,40 eur;Nestotožnil sa ani s názorom odporcu o potrebe zmluvnú pokutu v prípade vyhovenia návrhu navrhovateľov znížiť z dôvodu jej neprimeranej výšky | v danom prípade išlo o spotrebiteľskú zmluvu, keďže pri uzavretí zmluvy o dielo navrhovatelia nekonali ako podnikatelia | predmetná Zmluva o dielo je zmluva pripravená a používaná odporcom pre účely uskutočnenia podnikateľského zámeru odporcu | v celom rozsahu po skutkovej a právnej stránke stotožňuje s dôvodmi týkajúcimi sa odvolaním napadnutého rozsudku
KS_Trenčín_8Cob_64_2011_00_dokument.json;dohody o užívaní zo dňa 27.09.2009 | žalovanej do užívania nebytové priestory | Žalovaná uvedenú sumu v lehote splatnosti jednotlivých faktúr ani dosiaľ nezaplatila;zmluvná pokuta (čl. IV. bod 4.8) dohody o užívaní, pre prípad omeškania žalovanej ako užívateľa so zaplatením odplaty za užívanie alebo odplaty za služby spojené s užívaním o viac ako 20 dní | výška zmluvnej pokuty ako 3-násobok mesačnej odplaty;Odvolací súd sa nestotožňuje s právnym názorom súdu prvého stupňa, že výška zmluvnej pokuty, ktorú si účastníci dojednali, je v rozpore s dobrými mravmi | zmluvná pokuta môže byť dohodnutá popri zákonnej sankcii za omeškanie | V ďalšom sa súd prvého stupňa vysporiada s výškou zmluvnej pokuty s ohľadom na možný odstup podľa § 301 Ob.z. | neprimerane vysokú zmluvnú pokutu môže súd znížiť s prihliadnutím na hodnotu a význam zabezpečovanej povinnosti
KS_Trenčín_8Cob_258_2014_00_dokument.json;žalobcom ako zhotoviteľom a žalovaným ako objednávateľom uzatvorená Zmluva o dielo č. XXXXXXXX/EB/C | Žalovaný mal zaplatiť cenu diela najneskôr do 24.02.2012, cenu diela však uhradil až 01.06.2012 | Faktúrou č. 200100539 vyúčtoval žalobca žalovanému podľa zmluvy o dielo vykonané práce na diele od 02.08.2011 do 14.10.2011 v celkovej sume 350.743,12 Eur;objednávateľ zaplatí zhotoviteľovi za omeškanie s úhradou faktúry zmluvnú pokutu vo výške 0,05% z fakturovanej ceny za každý deň omeškania | zo strany žalovaného došlo k porušeniu povinnosti zaplatiť cenu diela riadne a včas;využiť moderačné oprávnenie súdu a zmluvnú pokutu primerane znížiť | by žalobca získal neprimerane vysokú sankciu (majetkovú výhodu) za omeškanie | znížil zmluvnú pokutu na sumu 1.000,-Eur, ktorá v prípade žalovaného je sumou, ktorá ho núti k zaplateniu dlžnej sumy riadne a včas | žalobcovi včasným nezaplatením ani reálna škoda nevznikla
KS_Trnava_32Cob_3_2021_00_dokument.json;Sporové strany ako podnikateľské subjekty uzavreli dňa 21.01.2019 tzv. abonentnú zmluvu | strany medzi sebou uzavreli v ten istý deň aj zmluvu o servisnej službe | Žalovaný neuhradil žalobcovi v lehote splatnosti faktúry č. 191103825, č. 191107224 a č. 191110713 vo výške po 40,85 €;50 % zo súčtu cien mesačného paušálu za každý aj začatý mesiac odo dňa odmietnutia poskytovania služieb až do skončenia účinnosti zmluvy | za odmietnutie poskytovania služieb na strane abonenta sa považuje aj čiastočné neuhradenie aspoň dvoch faktúr | Strany si dojednali dobu trvania zmluvy na obdobie 36 mesiacov;odvolací súd dospel k záveru, že je namieste zmluvné pokuty primerane znížiť | ako primerané zmluvnú pokutu obmedziť prinajmenšom do okamihu, kým trvala žalobcova povinnosť plniť zo zmlúv | Tie zanikli v dôsledku jeho vlastného odstúpenia, takže zmluvné pokuty v sume, ktoré by mali zohľadňovať i obdobie neplnenia, sú neprimerané | žalobca netvrdil vznik žiadnej skutočnej škody a keďže ušlý zisk mu už z vyššie vysvetlených dôvodov vzniknúť nemohol
KS_Banská_Bystrica_43CoPv_10_2023_00_dokument.json;žalobca je držiteľom výlučnej licencie na používanie označenia "metabolic balance" | žalovaný bol na základe platne dojednanej konkurenčnej doložky viazaný zmluvne dohodnutým zákazom konkurencie, a to aj po ukončení Zmluvy o spolupráci | žalovaný pri výkone svojej činnosti spočívajúcej v poskytovaní výživového poradenstva používa, resp. používal označenie "metabolic balance", a to bez súhlasu majiteľa ochrannej známky;ak poruší svoju povinnosť zákazu konkurencie | zaplatiť Poskytovateľovi licencie zmluvnú pokutu vo výške 25.000,00 Eur za každé jednotlivé porušenie;výnosy, resp. zisky zmluvných strán nevyjadrujú hodnotu a ani význam zabezpečovanej povinnosti | zabezpečovanou povinnosťou v súdenej veci boli špecifikované záväzky (povinnosti) žalovaného z titulu zmluvne dohodnutého zákazu konkurencie | tvrdenie žalovaného o výnosoch z uzavretej Zmluvy strán preto neboli spôsobilé na to, aby súdy k moderácii zmluvnej pokuty pristúpili
KS_Žilina_14Cob_109_2017_00_dokument.json;vyhodnotení oboch zmlúv o úvere (Zmluvy č. 3001, Zmluvy č. 3002) ako bežných zmlúv o úvere podľa § 497 a nasl. Obchodného zákonníka, teda ako absolútnych obchodných záväzkov podľa § 261 ods. 3 písm. b) Obchodného zákonníka | žalobca zmluvnú pokutu vyúčtoval výlučne pri zmluvnom vzťahu podľa Zmluvy o úvere č. 3002. Podľa Zmluvy o úvere č. 3001 žalobca žiadnu zmluvnú pokutu žalovaným nevyúčtoval. Zo Zmluvy o úvere č. 3002 vyplýva, že bol poskytnutý úver vo výške 470.000,- Sk. | Ku dňu 13. októbra 2004 boli dlžníci povinní vrátiť žalobcovi sumu 581.165,- Sk, ktorá predstavuje súčet istiny a vyčísleného úroku z úveru. | žalobcovi podľa zmluvy o úvere ku dňu 13. októbra 2004 vzniklo právo požadovať od žalovaných zaplatenie istiny 470.000,- Sk spolu s vyčísleným úrokom vo výške 111.165,- Sk, teda spolu 581.165,- Sk.;Pokiaľ ide o nárok na zmluvnú pokutu, podľa Zmluvy o úvere č. 3002 žalobcovi patrí za každý deň omeškania zmluvná pokuta vo výške 0,2 % z dlžnej sumy. | Zmluvná pokuta bola v tomto prípade medzi účastníkmi dojednaná vo výške 0,2 % denne, čo po prepočítaní predstavuje 73 % ročne. | Zmluvná pokuta vo výške 0,05 % denne vyčíslená za obdobie odo dňa nasledujúceho po splatnosti úveru, teda od 14.10.2004, do 28.02.2006, dokedy žalobca túto zmluvnú pokutu požadoval, predstavuje 146.162,99 Sk.;dospel k záveru, že v tomto prípade je primeranou zmluvnou pokutou zmluvná pokuta vo výške 0,05 % denne, teda 18,25 % ročne. | Za tejto situácie nebolo podľa okresného súdu dôvodné zabezpečovať plnenie zmluvných záväzkov veľmi vysokou zmluvnou pokutou 73 % ročne. | Výška úroku z omeškania spolu s požadovanou zmluvnou pokutou tak predstavuje 88 % ročne, čo je podľa okresného súdu neprimerane vysoký zásah do postavenia žalovaných, ktorý môže viesť k bezdôvodnému obohateniu žalobcu na účet a na úkor žalovaných. | Zmierňovacie právo má zmysel v tom, že súd môže korigovať stav, kedy by v dôsledku zmluvnej pokuty malo dôjsť k neúmernému obohateniu veriteľa a súčasne k bezdôvodnému hospodárskemu poškodeniu dlžníka. | Celkové zaťaženie žalovaného v dôsledku neuhradenia jeho dlhu podľa uzatvorených zmlúv o úvere tak bude predstavovať súčet zmluvnej pokuty 18,25 % ročne a úroku z omeškania vo výške 15 % ročne, teda 32,5 % ročne, čo podľa okresného súdu dostatočným spôsobom pokrýva aj odôvodnené nároky žalobcu.
KS_Žilina_14Cob_21_2019_00_dokument.json;V prejednávanej veci je zmluvnou pokutou zabezpečené porušenie povinností poskytovateľa obsiahnutých v čl. V. bod 5. Zmluvy o spolupráci zo dňa 07.05.2009 | poskytovateľ, teda žalovaný povinný zachovávať mlčanlivosť o všetkých skutočnostiach, o ktorých sa dozvedel pri vykonávaní svojej činnosti v prospech záujemcu | V prípade vyzradenia týchto skutočností tretím osobám, zaväzuje sa poskytovateľ, v danom prípade žalovaný zaplatiť záujemcovi, teda žalobcovi zmluvnú pokutu vo výške 10.000,00 Eur | V prejednávanej veci si žalobca uplatnil nárok na zaplatenie zmluvnej pokuty z dôvodu porušenia povinnosti obsiahnutej v čl. V. ods. 5 zmluvy;zmluvnú pokutu vo výške 10.000,00 Eur, a to do 30-tich dní odo dňa porušenia zmluvnej povinnosti, za každé vyzradenie uvedenej skutočnosti bude poskytovateľ povinný zaplatiť zmluvnú pokutu zvlášť | znížil zmluvnú pokutu, a to zo sumy 10.000,- Eur na sumu 500,- Eur;takto dohodnutá zmluvná pokuta je neprimerane vysoká | Okresný súd pristúpil a uplatnil moderačné právo v súvislosti so znížením neprimerane vysokej dohodnutej zmluvnej pokuty | priznanie zmluvnej pokuty vo výške 10.000 Eur za každé porušenie povinností by bolo neúmerne prísnou a bezdôvodnou sankciou, pričom žalobca v súvislosti s porušením dohodnutých povinností nepreukázal skutočnú škodu, ktorá mu mala vzniknúť | použitie moderačného práva je zásahom do zmluvnej voľnosti účastníkov záväzkového vzťahu | okresný súd v nadväznosti na žalobcom priznanú a vyplácanú odmenu vo výške 500,- Eur mesačne ustálil výšku zmluvnej pokuty na sumu 500,- Eur za každé preukázané porušenie dohodnutej povinnosti
